Cell,neighbors
1,101;278;295;480;499;
2,98;101;141;246;480;
3,141;246;295;499;
4,17;238;278;295;370;
5,141;208;213;295;370;480;
6,101;141;213;278;
7,17;186;230;238;436;
8,17;186;213;293;366;370;
9,213;238;366;
10,155;230;286;436;
11,138;155;186;230;366;449;
12,138;366;436;
13,246;298;320;426;480;499;
14,98;246;426;485;
15,98;101;298;499;
16,278;320;370;432;480;
17,19;98;208;426;480;
18,98;141;208;278;320;499;
19,186;238;322;370;432;
20,208;293;370;
21,208;213;238;278;293;432;
22,72;155;186;322;436;
23,72;186;293;449;
24,238;293;322;366;436;449;
25,72;138;155;
26,155;286;322;449;
27,72;138;286;436;449;
28,320;426;432;485;
29,19;298;426;
30,19;98;298;320;485;
